Wavelength,Flux,BestFit,SkyFlux
4182.155,50.198,51.658,9.944
4183.117,47.042,50.624,9.243
4184.079,46.472,48.343,8.279
4185.044,44.115,46.138,7.475
4186.007,44.393,44.698,7.413
4186.972,46.786,43.921,7.888
4187.935,47.316,43.339,7.891
4188.901,45.566,42.560,7.129
4189.865,43.303,42.293,7.330
4190.829,45.266,42.743,8.663
4191.795,40.391,43.830,8.882
4192.759,46.134,45.091,7.762
4193.726,51.894,46.245,7.138
4194.691,53.048,47.978,7.488
4195.658,51.853,49.491,7.880
4196.624,46.591,49.601,7.426
4197.589,49.167,49.526,6.290
4198.557,53.117,50.265,5.605
4199.523,53.474,51.232,6.059
4200.491,52.891,51.375,7.009
4201.457,50.271,52.116,7.409
4202.426,53.769,53.204,7.141
4203.393,52.433,54.004,7.200
4204.360,50.152,54.393,7.145
4205.330,51.817,54.348,6.390
4206.297,51.002,53.250,6.559
4207.267,52.597,52.518,7.634
4208.235,51.041,52.698,8.439
4209.205,51.049,52.749,8.416
4210.174,51.403,52.654,7.774
4211.142,51.621,53.252,7.314
4212.113,53.283,53.712,7.171
4213.082,53.992,53.914,6.912
4214.054,54.349,53.813,6.491
4215.023,54.198,53.687,6.868
4215.995,51.522,53.336,7.672
4216.965,53.834,52.429,7.742
4217.935,49.235,51.668,7.339
4218.908,50.432,50.975,6.620
4219.878,50.215,49.956,6.092
4220.851,49.903,49.604,6.372
4221.822,47.978,50.173,7.193
4222.796,48.489,51.001,7.552
4223.767,54.531,52.263,7.019
4224.739,56.836,53.273,6.411
4225.713,52.648,54.780,6.297
4226.685,55.896,55.375,5.850
4227.660,56.886,55.199,5.387
4228.633,55.334,55.447,5.661
4229.608,53.973,54.090,6.134
4230.581,53.812,51.965,6.106
4231.554,50.271,50.651,6.020
4232.530,48.872,49.982,6.653
4233.504,48.646,49.932,7.191
4234.480,50.182,50.880,6.822
4235.454,50.890,52.018,6.455
4236.431,52.020,52.967,6.976
4237.405,54.073,52.859,7.767
4238.380,49.736,51.994,7.457
4239.357,53.530,51.203,6.608
4240.333,53.421,50.967,6.490
4241.310,50.331,50.900,6.429
4242.286,49.269,51.056,6.153
4243.264,49.298,50.512,5.762
4244.241,51.372,50.631,5.825
4245.217,49.495,51.427,6.871
4246.196,51.274,51.673,8.688
4247.173,55.904,52.649,10.096
4248.152,53.494,53.652,10.145
4249.129,52.759,54.576,8.919
4250.109,60.744,55.252,7.411
4251.087,58.903,55.719,7.209
4252.065,61.136,56.071,8.097
4253.045,58.364,55.927,7.722
4254.024,60.669,55.570,7.808
4255.005,56.660,54.638,8.330
4255.984,54.697,53.902,8.086
4256.965,56.716,53.464,7.664
4257.944,55.668,52.875,7.613
4258.926,52.920,52.937,7.845
4259.906,52.335,52.338,7.844
4260.886,50.739,50.748,7.341
4261.869,48.268,49.613,6.629
4262.849,49.569,49.310,6.571
4263.832,48.423,49.131,7.317
4264.813,49.274,49.655,7.642
4265.796,51.695,49.830,7.149
4266.778,52.897,50.249,7.670
4267.759,49.133,51.150,8.197
4268.743,53.749,51.704,7.580
4269.725,52.396,51.431,7.050
4270.710,50.851,52.073,6.970
4271.692,52.945,51.840,6.877
4272.677,56.428,52.169,6.941
4273.660,57.273,52.809,7.426
4274.644,52.033,53.047,7.681
4275.629,49.466,52.875,7.269
4276.613,56.927,52.804,7.239
4277.599,54.012,53.430,7.705
4278.583,52.632,52.777,7.633
4279.570,52.461,53.087,7.324
4280.554,54.227,54.403,7.944
4281.539,54.431,54.391,8.629
4282.526,57.471,54.963,8.048
4283.511,56.078,55.044,7.283
4284.499,56.289,54.606,7.373
4285.485,55.691,53.404,7.714
4286.473,50.896,51.835,7.745
4287.459,47.794,50.717,8.001
4288.446,48.332,49.810,7.682
4289.434,50.208,49.464,6.377
4290.421,51.727,49.981,5.666
4291.411,51.760,50.548,6.516
4292.398,52.322,50.998,8.046
4293.388,53.603,51.970,8.416
4294.375,55.340,53.205,7.824
4295.363,57.684,54.303,7.920
4296.354,57.899,55.490,7.930
4297.342,55.441,56.521,7.447
4298.333,53.400,57.063,7.382
4299.322,54.539,57.034,7.547
4300.313,57.982,56.701,7.760
4301.303,57.900,56.884,8.141
4302.292,53.726,56.740,7.695
4303.284,57.191,55.948,6.243
4304.274,58.320,54.964,6.103
4305.267,51.599,54.641,6.833
4306.257,56.008,55.300,6.992
4307.250,57.550,55.427,7.192
4308.241,56.953,56.454,7.663
4309.232,61.384,57.776,8.178
4310.226,63.490,58.591,8.382
4311.217,61.513,58.570,8.505
4312.212,55.120,56.827,8.619
4313.204,50.282,55.432,8.858
4314.198,51.393,52.886,9.441
4315.191,47.501,49.458,10.309
4316.183,43.085,46.770,9.786
4317.179,44.730,45.969,9.223
4318.172,47.167,46.336,9.401
4319.168,46.661,48.435,9.566
4320.161,54.151,51.654,9.592
4321.157,54.925,54.506,9.261
4322.152,61.548,55.838,8.957
4323.146,61.062,55.772,8.543
4324.143,53.536,55.864,8.095
4325.137,53.882,55.710,7.993
4326.135,56.483,55.115,8.324
4327.130,52.927,54.823,8.454
4328.128,53.547,54.770,8.163
4329.124,57.072,54.627,7.779
4330.119,53.480,55.953,7.953
4331.118,56.156,57.160,7.798
4332.114,61.852,57.714,7.512
4333.113,60.440,58.231,7.375
4334.110,60.991,59.090,7.419
4335.110,61.532,59.949,7.884
4336.107,58.077,60.264,8.583
4337.107,58.227,59.548,8.948
4338.105,58.347,57.946,8.801
4339.103,56.697,56.568,8.240
4340.103,57.352,55.612,7.372
4341.102,57.159,54.616,6.886
4342.103,54.406,54.470,7.544
4343.101,55.370,54.106,8.348
4344.103,52.941,54.379,7.390
4345.102,55.800,55.082,6.923
4346.102,54.079,55.632,8.146
4347.104,53.042,55.922,8.340
4348.104,52.337,56.247,9.106
4349.107,55.228,55.992,10.683
4350.107,54.444,55.227,10.030
4351.110,52.058,54.785,8.446
4352.111,51.586,55.078,7.900
4353.113,52.756,56.017,8.325
4354.116,55.438,57.780,8.065
4355.118,59.337,59.292,7.746
4356.122,61.447,60.372,10.720
4357.125,58.942,61.030,18.389
4358.129,55.522,60.668,33.576
4359.132,59.955,58.714,44.553
4360.135,58.737,56.272,36.520
4361.140,50.444,53.875,23.006
4362.143,50.975,52.044,13.955
4363.149,51.136,50.321,10.876
4364.153,45.846,49.387,9.475
4365.159,45.380,50.230,8.657
4366.164,51.136,50.848,8.173
4367.168,51.915,52.360,8.389
4368.175,51.558,54.830,9.198
4369.180,56.796,56.682,9.415
4370.187,59.785,57.246,8.658
4371.193,61.448,57.224,8.350
4372.201,59.789,56.855,7.840
4373.207,59.075,56.706,6.986
4374.213,56.813,56.565,7.925
4375.221,55.807,55.972,9.587
4376.228,56.786,55.398,10.122
4377.237,51.051,55.283,10.127
4378.244,55.296,53.879,9.976
4379.254,55.875,52.846,9.269
4380.261,51.392,52.102,8.474
4381.269,49.617,51.136,8.380
4382.279,49.516,50.369,8.503
4383.287,48.376,50.725,8.466
4384.298,50.731,51.690,8.198
4385.307,54.708,52.581,7.708
4386.318,50.034,52.749,7.633
4387.327,58.638,52.343,7.430
4388.336,52.509,51.353,7.565
4389.348,55.202,49.497,7.710
4390.358,46.683,47.273,7.959
4391.370,44.583,45.534,7.702
4392.381,46.345,43.700,7.839
4393.393,44.913,42.924,8.126
4394.404,42.299,43.233,8.062
4395.415,44.742,43.108,7.900
4396.429,43.882,42.783,7.812
4397.440,41.647,43.135,8.020
4398.454,43.500,42.898,8.482
4399.466,39.936,42.241,8.165
4400.480,39.302,41.960,7.722
4401.493,42.727,42.404,8.558
4402.505,37.795,43.414,9.712
4403.520,43.397,45.621,9.744
4404.534,48.899,48.185,10.022
4405.549,51.322,50.719,10.473
4406.563,54.766,53.684,10.149
4407.579,56.085,57.289,10.679
4408.593,59.939,60.122,11.102
4409.607,62.900,63.400,10.682
4410.624,60.319,64.514,10.617
4411.638,63.588,64.125,11.211
4412.656,68.244,63.242,11.242
4413.671,61.656,61.558,10.925
4414.689,56.401,59.261,11.267
4415.704,54.077,56.165,11.041
4416.723,53.351,53.403,10.052
4417.739,49.706,52.079,10.230
4418.755,49.584,52.354,10.147
4419.774,55.698,53.837,10.206
4420.791,56.079,56.660,10.788
4421.810,53.543,59.200,10.641
4422.827,57.873,60.454,10.129
4423.847,61.851,61.548,9.580
4424.865,64.397,62.295,9.515
4425.883,65.553,61.850,10.186
4426.903,61.868,62.771,11.030
4427.922,58.737,61.223,11.115
4428.943,59.856,58.266,10.298
4429.962,58.915,56.317,9.298
4430.983,58.886,55.068,9.248
4432.003,56.578,52.940,10.456
4433.022,54.140,52.630,10.309
4434.044,55.670,53.452,8.531
4435.064,56.273,54.183,7.443
4436.087,54.805,55.033,7.804
4437.108,58.978,55.834,8.494
4438.131,56.168,56.323,8.832
4439.152,63.437,58.331,9.107
4440.173,64.375,59.943,8.945
4441.197,62.872,60.682,8.102
4442.219,62.438,60.810,7.643
4443.243,59.372,60.386,8.114
4444.265,57.427,59.185,8.281
4445.290,57.405,57.547,8.102
4446.313,56.522,57.214,9.012
4447.336,55.708,58.282,9.715
4448.361,61.311,59.679,8.520
4449.384,61.137,61.026,7.657
4450.410,60.195,62.556,9.125
4451.434,56.893,63.223,9.306
4452.461,60.011,62.865,7.968
4453.485,63.956,63.556,7.277
4454.510,61.221,64.901,7.555
4455.537,71.763,65.863,7.934
4456.562,68.986,66.457,7.937
4457.589,66.575,67.345,7.603
4458.615,68.664,67.484,7.621
4459.643,66.180,66.404,7.791
4460.669,66.648,65.232,7.500
4461.695,64.568,64.432,6.940
4462.724,60.423,63.498,7.357
4463.751,60.308,62.970,7.977
4464.780,59.708,62.389,8.567
4465.807,56.162,61.972,9.111
4466.837,58.570,61.240,8.231
4467.864,59.350,60.275,7.924
4468.892,55.904,60.005,8.366
4469.923,58.239,60.661,8.175
4470.951,63.100,61.806,7.703
4471.982,65.111,61.693,7.782
4473.011,62.479,61.132,8.182
4474.042,56.991,60.504,8.591
4475.072,52.988,58.571,9.026
4476.101,51.682,55.260,9.016
4477.133,48.230,53.055,7.989
4478.163,45.920,51.583,7.354
4479.196,52.010,51.872,6.833
4480.226,52.172,53.788,6.462
4481.259,58.246,55.576,6.673
4482.290,56.175,57.232,6.994
4483.322,55.548,57.917,7.817
4484.355,57.113,58.868,8.522
4485.387,58.662,59.922,8.487
4486.421,57.435,60.505,8.248
4487.453,57.753,60.830,7.760
4488.488,61.425,61.700,7.270
4489.521,60.353,62.428,7.315
4490.554,59.929,63.426,7.568
4491.589,64.193,63.890,7.728
4492.622,65.362,63.760,7.994
4493.658,61.515,63.760,8.465
4494.692,60.923,62.803,8.819
4495.729,63.711,61.639,8.755
4496.763,59.205,60.902,8.503
4497.800,54.524,59.978,9.224
4498.834,53.587,58.645,9.484
4499.869,54.965,57.830,8.116
4500.907,54.622,58.427,7.493
4501.943,58.572,59.558,8.305
4502.981,58.332,60.693,8.226
4504.017,64.927,62.617,7.459
4505.055,66.727,64.820,7.228
4506.092,64.245,65.704,8.129
4507.128,65.661,66.149,8.567
4508.168,65.856,65.495,8.038
4509.205,59.803,64.356,7.943
4510.244,58.649,63.747,8.161
4511.282,66.406,63.959,7.640
4512.322,65.184,64.764,7.560
4513.360,59.086,66.449,8.335
4514.399,64.571,67.068,8.735
4515.440,65.824,67.410,8.246
4516.478,62.729,67.141,8.727
4517.520,63.096,66.213,8.879
4518.559,63.381,65.661,7.668
4519.601,61.515,65.910,7.842
4520.641,63.565,66.070,8.520
4521.681,66.093,65.935,9.294
4522.724,66.492,65.923,9.749
4523.764,64.857,66.162,8.993
4524.807,63.671,66.217,8.027
4525.848,65.566,65.798,8.063
4526.892,64.839,65.288,8.543
4527.933,61.202,64.857,8.687
4528.975,61.362,64.017,8.683
4530.019,61.592,63.376,8.500
4531.061,61.250,64.203,8.909
4532.106,62.039,65.426,10.809
4533.149,66.791,67.110,10.848
4534.194,69.753,68.204,9.369
4535.237,70.399,68.480,9.336
4536.280,65.761,67.947,9.341
4537.327,64.054,66.938,9.713
4538.370,64.950,67.049,10.145
4539.417,68.639,67.428,9.748
4540.461,67.602,68.688,9.014
4541.508,69.784,69.579,8.640
4542.553,71.587,70.091,9.714
4543.598,70.237,71.328,10.733
4544.646,69.654,70.976,10.551
4545.691,69.972,69.924,10.045
4546.739,65.789,69.440,10.075
4547.785,62.974,68.543,10.300
4548.834,70.037,66.476,9.631
4549.881,64.354,64.360,8.911
4550.927,60.807,63.907,9.551
4551.977,60.970,63.276,9.539
4553.024,63.458,62.689,8.658
4554.074,59.938,62.249,9.430
4555.121,57.193,61.976,9.641
4556.172,64.509,61.999,8.606
4557.220,61.464,62.302,7.718
4558.268,60.733,63.841,8.888
4559.319,66.885,64.988,9.713
4560.368,64.113,65.788,9.289
4561.420,62.499,66.515,8.529
4562.469,65.875,66.798,8.360
4563.521,66.472,66.915,8.245
4564.571,65.589,66.577,7.973
4565.621,66.876,67.362,8.155
4566.674,68.623,68.784,8.318
4567.725,68.057,70.093,8.400
4568.778,66.772,71.352,9.909
4569.829,73.051,72.253,9.820
4570.883,75.191,73.253,8.834
4571.934,71.291,74.236,8.831
4572.989,72.169,74.241,8.569
4574.041,72.652,73.012,8.289
4575.093,72.276,71.514,8.571
4576.148,66.099,70.484,8.956
4577.201,65.319,68.931,9.412
4578.256,64.895,69.029,9.550
4579.309,65.753,70.289,9.261
4580.365,70.425,71.755,9.205
4581.419,73.950,73.244,9.344
4582.473,73.193,73.579,9.432
4583.530,74.029,73.353,9.029
4584.584,72.015,72.123,8.533
4585.641,69.265,71.066,8.397
4586.696,73.578,70.722,8.189
4587.754,67.639,70.353,8.565
4588.809,72.969,70.376,9.627
4589.865,70.228,70.595,9.838
4590.923,69.760,70.143,9.405
4591.980,67.261,69.730,8.632
4593.038,69.502,70.221,9.211
4594.095,69.216,71.383,9.463
4595.154,77.638,72.268,8.358
4596.212,71.452,73.624,8.051
4597.269,74.711,74.316,8.381
4598.329,73.124,74.678,8.714
4599.387,75.904,75.833,8.743
4600.447,77.149,77.965,8.103
4601.506,75.141,79.089,7.851
4602.567,74.011,78.672,8.592
4603.626,75.905,78.022,8.828
4604.685,77.899,77.734,8.388
4605.747,76.698,77.451,8.203
4606.806,79.697,76.833,7.599
4607.868,82.019,76.755,7.228
4608.928,78.449,76.345,8.047
4609.991,70.543,75.344,8.052
4611.052,69.585,74.490,7.874
4612.113,70.313,74.209,8.364
4613.176,76.509,74.101,7.150
4614.237,73.015,73.841,7.715
4615.301,74.246,74.047,9.148
4616.363,75.422,74.234,8.420
