,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM
59107,3,4,2,5,2,3,5,5,1,5,3,2,2,1
6556,1,3,5,1,1,3,5,3,3,5,1,2,3,1
31779,5,5,1,3,5,5,1,3,5,5,2,1,1,1
87918,1,1,1,1,2,3,4,2,2,1,1,1,1,1
131271,4,5,2,2,2,1,3,4,5,2,2,2,2,1
86484,3,5,5,4,2,2,3,2,3,1,3,4,4,1
135413,1,4,3,2,5,3,4,2,4,1,2,2,2,1
52009,4,3,2,2,1,2,2,5,4,3,2,1,1,1
91907,3,5,2,4,1,1,5,2,5,1,2,2,2,1
56414,4,5,1,5,3,1,1,5,1,1,2,1,1,1
101244,4,3,2,4,3,2,2,4,3,4,2,1,1,1
122977,4,4,2,1,3,3,5,2,1,5,2,2,2,1
111937,5,4,5,5,1,4,2,4,1,2,3,3,4,1
54499,5,1,3,5,3,3,3,2,3,1,1,1,1,3
5797,1,3,3,1,5,1,3,3,5,3,1,1,2,1
84523,2,4,4,1,2,5,1,4,2,2,2,2,3,1
127307,3,1,4,2,2,3,4,4,1,4,1,1,1,1
53854,5,5,2,5,1,3,5,2,1,2,3,1,1,1
67746,4,1,1,5,4,2,4,1,4,4,1,1,1,5
46937,5,1,4,2,5,3,3,4,2,4,1,1,1,1
57883,4,5,1,1,2,4,4,1,3,2,1,1,1,1
109228,2,5,2,3,1,5,3,1,2,1,2,1,1,1
42420,2,2,4,5,5,5,5,2,5,4,1,1,2,1
128511,5,2,3,1,1,3,3,1,3,5,1,1,2,1
36370,2,4,5,4,2,2,4,3,2,4,2,3,3,1
35389,5,5,5,5,5,3,1,5,5,3,2,4,5,1
62127,4,3,1,3,5,2,3,4,3,1,1,1,1,1
64109,1,3,3,3,5,3,3,1,5,3,1,1,2,1
3868,1,1,5,3,3,3,3,3,5,3,1,1,1,1
57533,4,4,4,4,1,5,1,4,1,1,2,2,3,1
54130,3,3,2,5,1,5,3,1,2,3,1,1,1,1
58360,2,1,2,4,5,3,1,1,3,2,1,1,1,1
59956,1,1,4,1,4,2,1,5,4,3,1,1,1,1
68888,2,4,5,3,5,4,2,3,1,2,2,3,4,1
114095,4,3,2,1,2,2,1,3,3,2,1,1,1,1
130107,3,4,2,1,3,3,2,1,5,2,1,2,2,1
25614,5,1,5,5,1,1,3,1,5,3,1,1,1,5
80956,2,3,4,1,2,5,3,1,5,1,1,2,2,1
59889,5,5,3,1,3,5,5,2,2,2,2,2,3,1
60516,3,4,5,5,2,1,2,2,4,5,2,3,4,1
21132,3,5,5,5,1,3,5,3,1,3,2,4,5,1
21598,5,1,1,1,1,3,1,1,3,1,1,1,1,4
22971,5,1,1,5,5,3,3,1,1,1,1,1,1,3
78256,5,3,4,4,5,5,1,1,3,3,1,2,2,1
8451,3,1,1,5,1,1,3,1,3,1,1,1,1,3
92836,3,2,4,5,2,1,4,3,5,4,1,2,2,1
37993,2,1,4,1,2,2,5,2,1,4,1,1,1,1
117480,4,3,5,5,4,3,1,3,5,4,1,2,3,1
122514,5,1,1,2,3,4,1,4,2,2,1,1,1,1
50360,4,4,2,1,3,3,3,2,4,5,2,2,2,1
17154,3,5,1,1,3,5,3,1,5,3,2,1,1,1
65795,4,1,1,2,1,2,5,3,2,4,1,1,1,1
1261,1,1,1,5,3,3,1,5,1,1,1,1,1,1
49365,3,4,1,3,2,4,5,2,2,3,1,1,1,1
85709,1,3,3,5,3,1,5,2,1,2,1,1,2,1
39417,3,2,1,4,1,2,4,5,1,3,1,1,1,1
97316,5,1,4,3,1,4,1,5,3,3,1,1,1,5
52184,1,3,3,5,4,1,4,3,4,1,2,1,2,1
78638,4,4,5,2,1,2,2,5,5,3,1,4,4,1
115392,5,1,4,1,2,1,1,2,2,5,1,1,1,1
103558,3,2,2,1,4,3,5,4,4,1,1,1,1,1
107163,3,3,5,4,3,1,1,1,3,5,2,2,3,1
41295,3,1,5,4,5,3,4,5,3,4,1,1,1,5
20546,3,5,5,3,1,1,5,3,3,5,2,4,5,1
130571,3,1,2,4,2,3,1,5,5,2,1,1,1,1
63353,5,2,5,2,2,4,3,4,3,4,1,2,2,1
6504,1,3,5,1,1,1,5,3,3,3,1,2,3,1
55932,5,4,4,4,4,3,3,1,5,1,2,3,3,1
97863,5,1,3,3,2,4,5,4,3,3,1,1,1,1
49307,3,2,2,3,2,2,2,4,4,5,2,1,1,1
68339,1,5,2,5,1,5,2,1,2,1,1,1,2,1
20416,3,5,5,1,5,3,3,3,1,1,2,4,5,1
39771,3,4,4,5,3,3,2,5,1,4,3,2,3,1
102439,5,4,1,5,1,3,2,3,4,2,2,1,1,1
106655,5,2,1,2,2,3,3,1,3,4,1,1,1,1
114808,1,5,3,3,5,1,5,4,4,4,2,2,3,1
32586,5,5,3,1,3,3,1,1,5,5,2,2,3,1
77404,2,2,2,2,4,1,2,3,4,3,2,1,1,1
88542,2,2,4,5,3,4,5,2,3,1,1,1,2,1
41480,4,3,1,3,5,2,4,3,2,3,1,1,1,1
27664,5,3,3,1,1,1,1,3,5,3,2,1,2,1
140775,4,1,1,3,3,2,5,1,3,2,1,1,1,1
27,1,1,1,1,1,1,3,5,3,5,1,1,1,1
70581,3,3,3,5,2,1,1,2,2,4,2,1,2,1
137033,2,4,3,4,1,4,4,2,4,3,2,2,3,1
119131,4,2,4,3,1,2,4,5,1,2,2,2,2,1
122247,3,5,3,5,2,5,4,5,5,1,2,2,2,1
40683,2,4,5,1,2,5,2,2,4,5,2,3,4,1
49664,3,5,1,4,2,2,2,2,2,2,1,1,1,1
62967,2,3,5,1,3,1,1,1,2,2,1,2,3,1
79171,3,5,4,2,5,3,2,2,4,3,2,3,3,1
26910,5,3,1,3,3,5,1,3,5,5,1,1,1,1
30706,5,3,5,5,5,3,5,3,1,3,1,2,3,1
101048,3,2,3,1,5,4,4,2,4,5,1,1,1,1
119783,5,5,2,3,5,3,5,4,5,5,1,1,2,1
10623,3,1,5,1,1,3,3,5,5,3,1,1,1,3
35369,5,5,5,5,5,3,1,1,1,3,2,4,5,1
79597,5,4,3,3,5,2,3,3,4,2,2,1,2,1
37904,3,4,5,5,3,3,4,1,4,4,3,3,4,1
12627,3,3,1,1,5,5,5,1,5,5,1,1,1,1
76470,1,3,5,2,1,2,2,1,4,4,2,2,2,1
24057,5,1,3,3,5,5,1,5,3,1,1,1,1,3
32508,5,5,3,1,1,5,5,3,1,5,2,2,3,1
1515,1,1,1,5,5,5,5,1,3,3,1,1,1,1
91196,3,1,5,3,1,1,1,5,1,1,1,1,1,1
47887,4,1,5,1,4,4,1,5,4,5,1,1,1,1
46701,2,4,1,3,4,5,3,4,3,5,2,1,1,1
33549,5,5,3,5,1,5,5,5,3,5,2,2,3,1
129101,2,1,4,5,3,3,1,2,1,5,1,1,1,1
27442,5,3,1,5,3,5,3,1,1,5,1,1,1,1
46110,3,5,1,5,4,2,5,3,2,5,3,1,1,1
10482,3,1,3,5,5,5,1,1,5,3,1,1,1,5
105207,3,2,5,2,5,1,5,5,5,4,1,2,2,1
99363,3,2,3,4,3,4,5,1,5,2,1,1,1,1
132905,4,5,4,4,4,3,5,2,3,2,1,3,3,1
108764,4,3,1,2,3,2,3,3,1,1,2,1,1,1
73286,4,4,3,5,2,5,5,4,3,4,2,2,3,1
90714,5,3,1,5,4,5,1,5,4,1,1,1,1,1
23327,5,1,3,1,3,3,3,1,5,3,1,1,1,3
69312,3,4,1,4,2,1,1,2,5,2,1,1,1,1
38980,1,1,2,1,1,3,5,2,1,1,1,1,1,1
48523,4,2,1,3,4,1,5,1,4,5,1,1,1,1
104119,3,1,2,2,3,2,3,5,5,1,1,1,1,1
84319,3,1,5,3,5,4,5,4,5,1,1,1,1,1
78082,4,5,1,1,4,5,2,3,1,5,2,1,1,1
20743,3,5,5,3,3,1,5,5,5,3,3,5,5,1
114022,1,1,4,5,4,2,2,5,2,2,1,1,1,1
106745,3,1,3,1,5,1,2,1,1,3,1,1,1,1
66742,1,1,4,5,1,5,4,1,3,5,1,1,1,1
50259,4,5,4,5,3,4,3,5,2,3,1,3,4,1
42041,4,3,5,3,5,1,2,3,5,2,1,2,3,1
53739,3,1,1,2,5,1,2,4,2,4,1,1,1,1
126937,3,5,2,5,2,5,4,4,2,3,3,2,2,1
113455,4,2,2,3,3,2,5,1,4,2,1,1,1,1
27974,5,3,3,1,3,5,3,5,1,1,1,1,2,1
134863,1,1,2,4,1,4,4,4,5,5,1,1,1,1
19017,3,5,3,3,1,3,5,1,1,5,2,2,3,1
48910,4,4,4,4,5,4,3,4,4,3,2,2,3,1
129667,5,1,5,1,3,1,5,2,1,4,1,1,1,1
26084,5,1,5,5,5,5,5,3,1,3,1,1,1,5
104338,2,2,1,3,5,4,2,1,1,1,1,1,1,1
69347,5,2,5,1,5,1,1,5,3,3,1,1,2,1
23203,5,1,3,1,1,5,1,5,5,3,1,1,1,4
85641,3,3,1,2,5,2,5,5,2,4,2,1,1,1
27528,5,3,1,5,5,1,5,1,5,5,1,1,1,1
124262,5,1,5,2,3,3,2,2,4,5,1,1,1,2
74249,2,4,1,5,4,2,1,4,4,4,2,1,1,1
104493,2,1,2,4,3,5,4,5,1,5,1,1,1,1
55689,1,3,2,1,1,5,3,3,2,2,1,1,1,1
48220,4,1,2,2,2,1,5,5,5,2,1,1,1,1
36598,1,2,2,2,2,3,1,3,2,5,1,1,1,1
72114,5,3,5,3,4,3,2,3,3,5,2,2,3,1
60602,3,1,5,2,1,3,5,1,2,5,1,1,1,1
23236,5,1,3,1,1,5,5,3,5,3,1,1,1,2
114415,5,3,1,5,5,3,1,5,4,5,1,1,1,1
644,1,1,1,3,1,5,3,3,1,5,1,1,1,1
127460,1,3,1,1,3,4,5,4,5,4,1,1,1,1
89059,1,2,1,5,1,5,1,2,2,4,1,1,1,1
119005,3,5,1,4,1,2,2,1,2,5,2,1,1,1
43236,3,3,3,5,5,1,4,5,4,5,2,1,2,1
51948,4,2,3,3,2,2,5,2,4,5,1,1,1,1
54211,2,4,1,4,4,1,1,3,3,1,2,1,1,1
25909,5,1,5,5,3,5,5,3,3,3,1,1,1,5
111978,4,4,3,3,5,1,1,2,3,1,1,2,2,1
63535,2,1,5,5,4,5,3,2,2,5,1,1,1,1
56155,1,4,5,1,5,2,1,1,4,3,1,2,3,1
115760,5,1,1,2,3,4,2,2,4,4,1,1,1,1
36526,4,3,1,2,2,3,4,1,1,3,2,1,1,1
40680,3,4,3,2,2,1,2,2,4,1,2,2,2,1
15085,3,3,3,5,3,5,5,1,3,1,1,2,2,1
72878,4,5,3,4,3,4,3,1,3,4,1,3,3,1
13590,3,3,1,5,5,3,1,3,3,1,1,1,1,1
48106,5,2,4,3,1,4,4,2,3,4,2,1,2,1
5551,1,3,3,1,1,1,3,3,5,5,1,1,2,1
112548,3,5,1,4,2,2,5,5,5,2,1,1,1,1
51678,2,1,1,4,1,5,2,2,5,2,1,1,1,1
103559,2,4,5,4,4,3,4,3,4,4,3,3,4,1
87079,5,4,2,1,5,3,2,2,2,5,1,1,2,1
60697,2,1,1,2,2,2,5,4,4,4,1,1,1,1
109283,5,1,1,1,1,4,1,1,2,3,1,1,1,1
51310,4,1,3,4,2,1,2,2,1,1,1,1,1,1
129684,3,4,2,4,3,2,4,1,2,3,2,1,1,1
84900,3,3,1,1,1,2,5,5,1,2,2,1,1,1
48725,2,5,1,5,5,3,4,1,3,1,2,1,1,1
