,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,labels,class
685713,0.4402701,8.599926,12.44418,0.299248,1.09254,145.978073907021,11.8783463545022,23.01509,21.71139,20.12327,19.35653,18.96786,1.410556,1.687696,2.712363,2.509944,4.495842,0,GALAXY
699600,0.08178485,30.61282,33.84607,5.692183,18.79049,220.513205235151,54.7530321919016,18.38188,17.57382,17.38095,17.09919,17.22933,8.063347,7.525894,7.632263,7.439068,6.420034,0,GALAXY
494868,0.2764236,35.09018,47.94638,1.284862,4.33363,180.152841759029,3.30168144716331,23.44405,19.68657,18.03039,17.47991,17.15873,2.970101,5.133865,6.024578,5.706077,5.73064,0,GALAXY
324733,-6.010105e-05,285.4832,364.4435,5.64114,58.93588,48.0149134530487,-0.775898824351529,20.59801,18.0553,16.79459,16.38366,16.11958,18.01838,1.242563,1.093267,0.9486061,1.056544,0,STAR
718521,0.09640035,97.56596,127.3279,7.719502,27.05908,161.912697756152,39.187926467932,19.82408,17.81838,16.79767,16.36001,16.03122,5.039032,8.642045,7.797386,7.842932,7.287179,0,GALAXY
200464,-0.000801684,142.2306,138.5963,69.49043,112.9887,7.82109060518525,-0.502957418498281,18.2303,17.32724,17.181,17.1424,17.1404,1.355359,1.270482,1.025758,0.9853466,1.069562,0,STAR
173422,0.0007401875,35.36775,36.93903,16.43749,25.26879,154.61528610526,9.53474011723681,19.97226,18.94796,18.71756,18.6041,18.58102,1.683555,1.519691,1.235095,6.528942,1.582872,0,STAR
1056284,1.527511,7.223015,6.507071,7.396601,4.878359,141.711532528084,42.9614913457622,20.58484,20.39931,20.4525,20.23428,20.36735,1.167355,1.100981,1.003423,1.007641,0.7168126,0,QSO
291952,-0.0002015453,458.3526,499.2053,53.33443,194.719,0.959768979913235,25.9865916087515,18.28338,16.71255,16.0943,15.84468,15.71476,2.045767,1.935633,1.763734,1.541244,1.575409,0,STAR
521747,0.635982,6.541989,10.19693,-0.04056537,0.4399986,218.337434489348,5.64282813496353,23.27003,22.69143,21.22647,20.15019,19.62447,4.583186,2.969589,2.221691,3.172307,2.103718,0,GALAXY
595873,0.6925716,6.204192,10.39743,0.264594,0.5159734,124.688832139342,39.687497101149,25.43718,22.14067,21.03454,19.73529,19.04455,4.584788,11.30693,3.472311,4.246745,2.225268,0,GALAXY
947359,3.023452,7.819956,7.48722,2.596743,6.176428,195.206613936755,5.22755616557337,22.70098,20.44945,20.14156,19.97904,19.92591,1.895337,1.323035,1.26333,1.306839,5.711344,0,QSO
831880,0.05426941,98.56679,128.0957,7.644363,27.80138,203.240566417209,37.752684827127,19.98024,18.0994,17.22321,16.78808,16.48046,4.24364,4.213595,3.853959,3.628657,3.503485,0,GALAXY
1277927,1.772027,36.27969,41.93721,13.9355,17.69944,219.241127034028,29.1835071535143,20.07799,19.48306,19.23152,18.63493,18.5042,6.437813,1.404624,1.116754,1.036932,1.137065,0,QSO
114047,0.0002929475,4.916253,5.379193,1.310525,2.836243,160.928675082962,58.7943601814524,22.4756,21.10479,20.69732,20.53083,20.13538,68.30884,1.584583,1.705276,1.713624,1.226818,0,STAR
262429,-0.000341055,132.3894,136.0943,42.13646,77.39404,238.789754738491,42.8281070545025,18.77854,17.77673,17.34499,17.20263,17.08877,1.70582,1.470131,1.697459,1.35802,24.51578,0,STAR
53988,0.0001898389,343.6948,336.6856,187.0283,270.7773,134.931281265797,58.0284826609627,17.39347,16.41982,16.12349,15.9953,15.96368,1.790253,1.68835,1.604336,1.50131,1.40346,0,STAR
714472,0.1866067,30.86259,49.34854,0.9589287,4.255479,177.721977045256,37.7664856900638,20.57167,19.04521,17.70716,17.12687,16.67451,27.92695,5.391625,4.829032,4.498913,4.520092,0,GALAXY
1280496,0.5558158,15.11227,14.52309,7.417007,3.264247,161.765434812379,27.7567352099441,20.93211,20.52118,19.80589,18.75529,19.29506,4.5378,1.936419,2.248578,2.461618,3.438644,0,QSO
956776,2.253454,8.555829,11.17851,6.38787,10.00864,203.448155370119,-1.72755448789477,20.25418,19.74882,19.8991,19.83924,19.4714,1.994094,1.706946,1.604219,1.385604,0.9685197,0,QSO
807245,0.02871869,528.0963,668.3965,51.46887,173.4441,224.732489131095,11.6507920209645,17.27322,15.48084,14.67852,14.27722,14.02056,8.856397,8.777658,8.372127,8.531035,8.256228,0,GALAXY
815391,0.5484099,5.956253,9.462955,0.01748521,0.428649,249.371069931855,19.1980682331845,23.77083,22.95388,21.12125,19.92685,19.72225,2.970628,2.970318,1.844529,2.907152,4.099481,0,GALAXY
728213,0.4680788,6.892831,10.68898,0.1111662,0.7277754,148.894791808929,32.8040046514214,23.03774,22.46355,20.79518,19.91583,19.70261,7.360302,11.30667,2.206661,3.412959,1.670074,0,GALAXY
219535,5.356141e-05,490.1825,490.2423,182.363,331.0895,166.074690423132,52.1869284636777,17.21126,16.21061,15.85101,15.76377,15.72647,1.991507,1.665906,1.499036,1.637827,1.597819,0,STAR
187661,-0.000107002,227.0875,260.4507,7.069492,57.34005,183.864567014661,59.2668775317135,20.50069,18.04827,17.00817,16.62645,16.43176,1.3586,1.549994,1.300208,1.216791,1.317253,0,STAR
839442,0.7896481,3.160784,6.378261,-0.05860738,0.09088317,241.039238455076,33.3511954643838,25.74443,24.42859,22.1739,20.67166,19.82934,2.969929,2.969766,1.521801,1.943726,3.77321,0,GALAXY
48349,-9.102917e-05,60.23241,66.18462,9.634989,26.4564,142.382413844131,1.24941271663972,20.21949,18.84965,18.24381,17.99946,17.92848,2.15675,1.711783,1.461846,1.577076,1.391888,0,STAR
