,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,labels,class
126227,0.0003686454,17.52793,16.65789,9.241005,14.42179,143.520101245365,53.0391028799693,20.60727,19.60343,19.29374,19.1801,19.16471,0,STAR
655323,0.498728,9.739637,14.72601,0.04564507,0.9677753,253.148904046709,39.2894862161915,23.49109,22.48549,20.70374,19.75876,19.25942,0,GALAXY
373426,-0.0001096442,35.0821,36.36957,11.0332,20.12692,224.399893690722,41.7225457537929,20.20673,19.20051,18.73898,18.59153,18.49294,0,STAR
478168,0.0002193828,12.87107,15.82059,0.2644878,3.491148,154.241543829251,34.9001351201536,24.63467,23.97693,22.96199,21.66976,19.65421,0,STAR
1321814,2.055899,11.51649,13.32438,5.180962,7.438042,140.568408099865,30.2893271063661,20.90138,20.4961,20.22949,20.05244,19.91268,0,QSO
610363,0.1054908,29.67836,35.35754,4.353714,10.77715,324.522395492697,1.05052762539781,20.17099,18.87833,18.24785,17.90551,17.66803,0,GALAXY
832709,0.4657991,12.8631,19.83785,-0.06570403,1.011682,176.277770173826,9.9950477410871,24.71183,21.69365,20.07484,19.19435,18.61218,0,GALAXY
1265283,3.243996,1.653741,1.94277,0.2248399,1.084981,249.300645004546,34.3357458070524,23.22336,21.76997,21.47822,21.60962,21.36805,0,QSO
1316564,0.6823393,10.59276,13.25859,2.469451,4.388209,123.607303857212,29.0960014587395,21.20758,20.69403,20.2956,19.85096,19.72398,0,QSO
1085261,2.969981,33.44738,37.43718,12.796,24.53821,129.808918830108,48.857158361084,20.86505,18.94843,18.58136,18.50795,18.35785,0,QSO
780159,0.5827131,7.248701,11.81184,-0.006009504,0.5043006,226.840685227304,51.4750579484816,23.60849,22.83406,20.94799,19.89837,19.30088,0,GALAXY
1310210,1.568985,2.950454,3.468865,1.57137,1.87761,18.2097149779587,-1.0993956389402,21.80554,21.48124,21.33509,21.11745,20.90419,0,QSO
438878,-0.0004184523,41.45038,42.08774,15.43698,28.18542,142.972988427437,62.7465699246607,19.85282,18.90407,18.59617,18.44225,18.41824,0,STAR
104771,-0.0001387093,194.4749,216.7788,36.06891,85.7828,164.764733921925,3.62506074200625,19.07169,17.64164,17.0196,16.74583,16.59648,0,STAR
176567,-3.052203e-05,4.2471,4.623535,2.001632,3.368086,242.839924126818,43.9596738958814,22.0653,21.26405,21.11801,21.04401,20.67967,0,STAR
279199,5.5533e-05,60.96652,59.83805,15.75384,40.46349,201.78871933987,47.1827168396745,19.62716,18.51861,18.09011,17.96144,17.86127,0,STAR
1494425,2.709042,7.684616,8.498506,1.945596,3.580585,208.116900950348,12.8447371671657,23.96128,21.31467,20.67796,20.53478,20.42447,0,QSO
1212061,2.162806,60.39949,72.77496,76.99075,53.60636,149.519305889801,37.4217623228014,18.45061,18.11428,18.06527,17.99489,17.89089,0,QSO
1048492,1.084309,6.041017,7.773005,0.8269799,2.109605,131.467631829249,47.4560464804199,22.23194,21.71159,20.71896,20.37139,20.11881,0,QSO
993902,0.06586163,31.40727,36.40147,3.098539,19.5622,187.590171288088,17.7381113806999,18.2767,17.40591,17.20897,17.02474,17.04362,0,GALAXY
637690,0.5852445,7.979581,12.63496,0.5028338,0.9455264,125.566376182005,30.1224639505455,25.97614,22.06183,20.82858,19.7775,19.24542,0,GALAXY
1002674,1.074921,11.38801,11.48435,6.432203,7.971693,10.7470327208091,15.799121442394,20.67174,20.38118,19.9408,19.89991,20.02546,0,QSO
733258,0.1154853,152.3863,198.8234,13.35476,43.44465,231.920142508273,44.8164789018911,19.24162,17.4169,16.51396,16.08603,15.77939,0,GALAXY
1027213,3.291513,0.3020771,0.3141862,0.7115908,0.8251589,167.785170086374,63.0952103005642,22.82582,21.44906,21.17825,21.53844,21.03547,0,QSO
1108314,1.498421,2.237965,1.828425,1.719584,1.348577,115.541530771797,27.7038436985811,21.39179,21.18909,20.79111,20.5188,20.6887,0,QSO
1383782,2.123078,29.14455,38.56263,11.06788,17.42702,25.4547577653613,0.47183307058592,19.37822,19.18782,19.12648,18.91447,18.59916,0,QSO
1348278,1.48877,29.57732,32.33635,14.61464,17.04276,230.541639366028,31.737317078487,20.62232,20.16685,19.77809,19.49478,19.44372,0,QSO
339728,-2.506338e-05,430.0058,434.4012,146.7529,277.5327,125.412937754053,27.2092022662855,17.46826,16.3335,16.01148,15.90683,15.89578,0,STAR
544906,0.1322176,42.40168,60.32146,3.83653,9.795995,128.25310353164,51.8533893266607,21.05626,18.55586,17.57851,17.05334,16.67205,0,GALAXY
79044,0.0005989836,84.73351,87.41733,27.3136,55.90922,160.731275121769,5.79412207815581,19.01871,18.03594,17.75062,17.64871,17.61843,0,STAR
693766,0.1917615,3.394454,3.957153,0.7907842,1.646523,211.803709262696,53.475923309915,22.81011,21.86223,21.33703,21.13922,21.13842,0,GALAXY
1048025,2.470426,9.131935,11.57679,3.668487,6.691887,24.7841364993028,15.247605865363,20.95944,20.17309,19.95306,19.89017,19.70016,0,QSO
36147,-0.0008307878,2.925419,4.867363,0.09559453,0.2207584,126.455676286693,48.7379964956919,23.98035,21.41518,19.71865,18.91597,18.47506,0,STAR
