,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM,label
43669,31.055736955764964,19651.56938658684,0.2147212061684628,67.1678155035776,0.504728257478238,0.5608273119003959,0.1641870605285382,0.1328099365420587,291.5357689949326,0.777949491873879,1.527669260070016e+16,164.05630517574784,251.0686124401625,1200.0000000000011,singlePeak
22233,80.0,500.0,0.05,51.0,0.5,0.0,0.0,1.0,180.0,-2.0,335168770178366.75,0.8578040876108872,1.4870139259471415,15600.000000000016,doublePeak
95362,18.623918264517563,11251.067565798192,4.625353714278413,32.7148734788325,0.7026044331136475,0.2917207682225696,0.6765983934369514,0.4962804791729146,208.53218293654945,1.3760949108094662,1.5914501306181496e+16,2009.7964425784407,3096.3492562207766,1800.0000000000016,doublePeak
53457,48.97895366115502,5848.640924725326,3.870355983149101,93.2762349080504,0.3828658491742107,0.8169537333927462,0.965448708405068,0.1203161021134853,338.6377792501412,-1.516322502732323,3176044326880861.0,1057.7752228763875,1346.3016591005205,3000.0000000000027,singlePeak
54794,51.61757134499631,12952.084796219046,1.2713517600254538,95.72652631298052,0.3378370252254351,0.0796132849181106,0.628059358672937,0.0824862737566728,133.77211302747617,-1.9347398421617523,6260479473679560.0,868.4890954670478,979.095818009296,2400.0000000000023,singlePeak
91499,24.97072818775193,12975.755020083465,0.311980888390209,30.312900005724305,0.5468013762867405,0.0836235229163832,0.4012249943584102,0.1129651986576297,61.78658244181416,1.4229359256298697,1.3803676888548604e+16,178.81702772286658,240.9224759046133,1200.0000000000011,singlePeak
114118,16.20932183479255,21278.576368017504,1.4953765010462703,3.348217265280114,0.4359877660935066,0.3862136227134445,0.1742433689225037,0.1308621325805884,257.64438300964207,0.8954746483610112,2.1207888368083708e+16,1179.628694445682,1892.613220425004,599.999999999934,singlePeak
1127,10.0,500.0,0.05,100.0,0.0,0.5,1.0,1.0,0.0,-2.0,529965227894578.2,0.884665021406497,1.4848053011522997,2999.999999999936,doublePeak
75565,26.58125914115803,45425.08533657726,4.19002549119953,61.79073931463298,0.7265991799923113,0.1811608818237031,0.4707844450044947,0.9453766799555068,197.17029445319875,-1.7094062103899494,4.699692749774407e+16,7126.894463804545,11315.392877969583,599.999999999934,doublePeak
7674,45.0,500.0,0.05,2.0,0.5,0.5,1.0,1.0,360.0,-2.0,512970988965108.94,1.2245626427534355,1.4869891330774263,13200.000000000013,doublePeak
93527,35.415049831558875,1056.9918112480618,0.2710395269737366,39.274896846943975,0.1346709773822592,0.6946635144800857,0.3408906006858597,0.830631145610881,307.87996336744527,-1.9731098004269696,367906483975759.25,11.389617045113765,17.026797165753944,7200.000000000006,doublePeak
64584,11.655048272696986,657.3654136112425,1.4690025371603563,65.42048895900933,0.4193445629173498,0.2440183558219953,0.2609027238350186,0.5148657152323687,49.58247619518141,1.810102079150567,1027579330009739.6,33.91190171253793,57.56379233140332,5399.999999999938,doublePeak
43405,87.5394825189882,21905.55910804904,3.1143474216193137,21.035347059500147,0.9847857085008108,0.6679683173295358,0.6127379034975594,0.1457833421119874,152.8401398210889,1.3079923856694236,5883395146529378.0,2383.303046354883,4056.9025932596,1800.0000000000016,singlePeak
