,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
884560,GALAXY,0.4837779,9.89758,15.00954,-0.06447187,0.7768729,26.05134,22.09746,20.53055,19.67637,19.22251,2.969939,2.970204,1.689623,3.912026,6.332911
1071747,GALAXY,0.6319485,3.255832,5.496049,-0.1714562,0.0816788,23.5819,24.85681,22.04662,20.85918,19.93506,4.584918,2.97032,2.313233,2.070696,2.068387
912909,GALAXY,0.5668548,8.624166,13.76271,-0.03071487,0.5715461,23.82586,22.47109,20.66868,19.7598,19.42516,2.969826,2.969954,2.570702,3.753695,3.777064
342343,QSO,2.107341,2.464246,2.916173,1.93095,2.319016,21.69983,21.60427,21.51291,21.53619,21.30473,1.003477,2.258358,1.481279,1.169617,3.56903
316926,QSO,1.800569,7.195005,7.205607,4.010643,5.607765,20.95179,20.97576,20.78977,20.36027,20.14437,1.165699,1.074933,1.183836,0.9561954,2.299874
1169979,GALAXY,0.836445,2.381127,4.81181,-0.03977859,0.1047809,25.5769,24.71272,22.41666,21.17704,19.90141,0.850803,0.2565793,2.969556,1.923941,43.75661
496454,STAR,9.052518e-05,46.01226,45.3173,16.09221,32.03648,19.5522,18.65387,18.35813,18.21692,18.18395,2.0082,1.924619,1.572592,1.604843,1.69568
228769,QSO,2.950357,2.223026,2.189056,0.4933532,1.535815,23.6339,21.83645,21.51661,21.30951,20.89647,2.14155,1.091579,1.108212,0.6732171,1.049718
93399,QSO,2.118131,1.3528,1.632474,1.041125,0.9389983,22.44265,21.95746,21.72112,21.61889,21.25281,1.299559,1.102397,1.218212,1.338248,2.261673
209952,QSO,1.473031,31.77214,27.73857,31.74278,25.97466,19.4022,19.21475,19.06577,18.86383,18.93183,1.694198,1.360201,1.354693,1.251225,1.319307
37319,QSO,2.394443,11.09478,13.64435,5.034917,9.213985,21.09166,20.33192,20.21376,20.23045,19.99961,1.131471,1.111079,1.022541,0.9747243,3.059001
46350,QSO,2.708997,2.346398,2.43311,1.243788,2.047323,22.32472,22.06211,21.83687,21.85406,21.71296,1.888488,1.866553,1.320245,0.8471723,2.539932
978175,GALAXY,0.3079304,40.92846,54.80397,1.551474,4.948185,22.07541,20.10617,18.38611,17.76568,17.39532,18.0188,2.85648,3.402592,3.183862,3.7057
5082,QSO,0.9055924,4.780473,6.630751,3.655268,4.099128,21.64629,21.20821,21.14574,20.89481,20.64758,2.440298,1.459918,1.28997,3.599281,1.22025
656621,STAR,7.900591e-05,3.023767,2.965692,0.3849803,1.408873,25.27305,21.98516,21.2964,21.18085,20.90543,0.1035422,1.233466,0.970063,1.150438,0.6239533
