,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
1418020,GALAXY,0.4698739,19.2518,22.04066,1.003847,3.359468,22.74744,21.3229,19.59147,19.27345,18.94983
654418,STAR,-0.0002139574,3.415245,3.062022,1.058515,2.178586,22.65643,21.7181,21.4105,21.26143,21.17791
1345072,GALAXY,0.5740845,3.347657,4.840138,0.189931,0.536299,25.87197,22.19619,20.90235,19.95705,19.65901
1194718,GALAXY,0.6219708,3.129293,4.966268,-0.03262436,0.2382348,25.79301,24.19804,21.94638,20.87517,20.09448
368216,QSO,2.179173,7.896911,9.795827,5.950131,6.702152,20.81915,20.44274,20.4024,20.33999,20.01926
768744,STAR,-0.0003650552,54.90163,54.51039,20.03284,37.38622,19.4667,18.59995,18.30341,18.18786,18.16462
703759,STAR,0.0003498849,79.43049,82.4285,22.2927,46.0616,19.46873,18.2891,17.88659,17.75521,17.68599
304194,QSO,1.013292,2.63502,3.50391,1.450764,1.591363,22.16807,21.5406,21.44738,21.47233,21.73667
848201,STAR,-0.000997885,15.63754,19.46934,0.8161973,4.167656,22.78215,20.78969,19.88539,19.43384,19.31265
1288802,GALAXY,0.7745922,1.587718,2.283308,0.1105309,0.2074688,22.74438,22.99157,21.64771,21.08448,20.19375
519028,STAR,-2.543929e-05,132.1994,132.8174,50.79874,86.03335,18.54942,17.64358,17.32485,17.20309,17.13165
294285,QSO,0.5246943,10.04341,17.19328,0.5105744,1.217026,21.92599,21.23805,19.84434,19.08024,18.60474
36261,QSO,0.3605878,43.1741,57.51309,22.11652,21.1187,19.46434,19.13161,18.61824,18.38221,18.06882
1343480,GALAXY,0.8735369,1.420294,1.626622,0.1152647,0.2483885,24.83449,23.0335,22.24563,21.61656,22.228
275897,QSO,2.090874,2.653032,4.482835,4.120271,3.056901,21.02312,21.09698,21.06232,20.74478,20.3201
485945,QSO,0.3244655,8.560222,17.27315,4.026802,3.778363,20.93023,20.35192,19.89334,19.67288,19.1778
494777,QSO,1.010989,13.86735,18.75133,8.067584,9.582075,19.96611,19.7178,19.57214,19.52407,19.31838
492977,QSO,0.6372536,4.416401,5.216478,2.076344,2.611043,23.08664,21.4745,21.1928,20.72165,20.93347
1269339,GALAXY,0.03610649,373.4236,477.5136,31.29469,114.5282,17.85952,16.08622,15.27243,14.88186,14.54603
1369291,GALAXY,0.5874221,6.763642,11.38779,-0.01952336,0.409348,22.15225,22.08611,20.62076,19.46444,19.01641
147231,QSO,0.536801,8.381319,10.67796,3.583276,4.490963,21.41595,20.78517,20.72904,20.21066,19.94315
135223,QSO,1.638935,8.136707,8.509445,4.691442,5.797316,20.74216,20.51078,20.23633,20.04342,20.00482
17716,QSO,1.41837,41.61008,40.3237,29.28903,30.00612,19.25422,19.21393,18.86104,18.77106,18.86676
45213,QSO,2.624048,7.517669,9.015133,4.534217,6.377704,20.96575,20.22202,20.08396,20.13484,20.15135
1225130,GALAXY,0.612233,6.235865,9.789218,-0.03016677,0.3598808,25.1395,22.44793,20.59211,19.56565,18.99986
960128,STAR,1.598513e-05,457.1052,469.5589,147.9741,279.0649,17.40763,16.35411,15.98909,15.84451,15.80254
894752,STAR,8.680044e-05,14.59618,24.62708,0.7814592,2.743445,25.00556,21.85696,20.55636,19.43073,18.96812
686658,STAR,0.0004144753,6.671692,15.50553,-0.03854566,0.2756495,25.45157,23.6082,22.1418,20.48034,19.60101
1151705,GALAXY,0.483252,7.843459,12.14743,0.762342,1.19649,21.79846,21.28843,19.9791,19.19492,18.83801
